frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.00,0.94,0.00,0.00,0.04,0.00,0.00,0.91,0.62,0.40,0.00,0.39,0.00,0.00,1.37,0.52,1.29,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
2,0,0.000,0.77,1,0.01,0.31,0.23,0.53,0.22,0.27,0.00,0.74,0.21,0.13,0.00,0.37,0.04,0.00,1.32,0.33,0.97,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
3,0,0.000,0.88,1,0.01,0.00,0.23,0.53,0.20,0.27,0.06,0.43,0.00,0.07,0.00,0.24,0.04,0.00,1.24,0.53,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00
4,0,0.000,0.93,1,0.01,0.00,0.55,0.35,0.00,0.00,0.06,0.00,0.00,0.07,0.41,0.88,0.04,0.00,1.14,0.97,0.64,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
5,0,0.000,0.98,1,0.00,0.00,1.15,0.00,0.00,0.00,0.06,0.31,0.23,0.10,0.41,0.95,0.00,0.38,0.75,1.55,0.57,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
6,0,0.000,0.88,1,0.00,0.00,1.38,0.00,0.12,0.00,0.00,0.31,0.40,0.69,0.53,1.46,0.00,0.68,0.59,1.52,0.16,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
7,0,0.000,0.88,1,0.00,0.00,0.84,0.00,0.43,0.14,0.33,0.51,0.72,0.69,0.30,0.63,0.00,0.68,1.05,1.08,0.23,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
8,0,0.000,0.88,1,0.00,0.00,0.23,0.00,0.43,0.36,0.33,0.67,0.50,1.09,0.57,1.32,0.00,0.64,1.03,0.90,0.45,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
9,0,0.000,0.77,1,0.41,0.00,0.00,0.00,0.31,0.36,0.33,0.67,0.32,0.43,0.44,1.17,0.00,0.62,0.81,1.42,0.40,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
10,0,0.000,0.88,1,0.41,0.00,0.00,0.00,0.10,0.21,0.00,0.47,0.09,1.28,0.43,1.11,0.64,0.93,0.36,1.69,0.41,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
