frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.02,0.00,0.38,0.00,2.08,2.62,0.66,0.78,1.12,0.00,0.33,0.74,0.00,0.00,0.40,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0,0.000,0.88,1,0.29,0.20,0.36,0.00,1.06,1.84,0.22,0.50,1.32,1.54,0.61,1.01,0.08,0.20,0.13,0.37,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
3,0,0.000,0.88,1,0.29,0.20,0.42,0.00,0.62,1.26,0.01,0.63,1.16,1.91,0.50,1.18,0.08,0.20,0.00,1.42,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0,0.000,0.93,1,0.03,0.20,0.45,0.00,0.94,1.49,0.01,1.16,1.68,0.94,0.00,0.99,0.04,0.03,0.54,1.86,0.51,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0,0.000,0.93,1,0.00,0.00,0.21,0.00,1.00,1.01,0.01,0.94,1.41,0.58,0.08,1.22,0.00,0.10,0.54,1.70,0.51,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0,0.000,0.88,1,0.32,0.20,0.02,0.00,0.87,1.16,0.00,0.89,1.47,0.33,0.08,0.96,0.00,0.10,0.93,1.42,0.51,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0,0.000,0.98,1,0.75,0.20,0.00,0.00,0.73,1.38,0.00,0.43,1.16,0.29,0.08,0.91,0.07,0.10,0.59,1.38,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0,0.000,0.98,1,1.23,0.26,0.07,0.04,0.47,1.73,0.00,0.41,1.07,0.29,0.32,0.74,0.07,0.25,1.06,1.73,0.21,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0,0.000,0.88,1,0.92,0.06,0.07,0.04,1.45,1.72,0.09,0.48,1.65,0.81,0.32,0.75,0.07,0.35,0.99,0.95,0.21,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,0,0.000,0.98,1,0.53,0.19,0.07,0.04,1.61,1.21,0.09,0.45,1.84,0.83,0.32,0.71,0.00,0.35,1.34,0.91,0.30,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0,0.000,0.98,1,0.07,0.18,0.67,0.12,2.18,0.90,0.27,0.99,2.05,1.22,0.06,0.17,0.00,0.10,0.94,0.36,0.08,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,0,0.000,0.98,1,0.45,0.47,0.67,0.12,1.26,0.47,0.18,1.10,2.05,0.59,0.17,0.06,0.00,0.00,0.80,0.36,0.08,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0,0.000,0.93,1,0.62,0.33,1.14,0.12,1.75,0.99,0.18,1.76,2.30,0.39,0.61,1.38,0.39,0.00,0.64,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0,0.000,0.98,1,0.60,0.28,0.47,0.00,1.50,1.43,0.00,1.91,2.51,0.03,0.79,1.82,0.39,0.00,0.57,0.01,0.23,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0,0.000,0.93,1,0.22,0.00,0.47,0.00,2.04,1.89,0.00,2.01,2.66,0.75,0.72,2.09,0.39,0.02,0.46,0.22,0.23,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
