image_path,au_vector
/content/drive/MyDrive/AffectNet/Train/anger/image_000001.jpg,"[0.0, 0.0, 0.0, 0.0, 0.53, 1.83, 0.0, 0.0, 0.31, 0.73, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.55, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
/content/drive/MyDrive/AffectNet/Train/anger/image_000002.jpg,"[0.5, 0.53, 0.95, 0.28, 0.54, 1.04, 0.0, 0.5, 0.26, 0.65, 0.0, 0.52, 0.09, 0.0, 0.7, 0.87, 0.18, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
/content/drive/MyDrive/AffectNet/Train/anger/image_000003.jpg,"[0.97, 0.66, 1.45, 0.65, 0.66, 0.92, 0.0, 0.84, 0.36, 0.41, 0.55, 1.32, 0.09, 0.07, 1.26, 1.2, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
/content/drive/MyDrive/AffectNet/Train/anger/image_000004.jpg,"[0.97, 0.66, 1.2, 0.56, 0.48, 0.82, 0.0, 0.84, 0.22, 0.5, 0.55, 1.7, 0.57, 0.07, 1.03, 1.52, 0.29, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
/content/drive/MyDrive/AffectNet/Train/anger/image_000005.jpg,"[0.5, 0.16, 1.06, 0.58, 0.3, 0.59, 0.0, 0.4, 0.2, 0.26, 0.55, 1.55, 0.57, 0.07, 1.36, 1.63, 0.29, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
/content/drive/MyDrive/AffectNet/Train/anger/image_000006.jpg,"[0.03, 0.04, 0.71, 0.2, 0.02, 0.21, 0.0, 0.06, 0.06, 0.36, 0.0, 1.0, 0.67, 0.0, 0.72, 2.01, 0.29, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
/content/drive/MyDrive/AffectNet/Train/anger/image_000007.jpg,"[0.46, 0.37, 0.55, 0.2, 0.02, 0.33, 0.0, 0.43, 0.06, 0.11, 0.0, 0.37, 0.11, 0.0, 1.12, 1.97, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
/content/drive/MyDrive/AffectNet/Train/anger/image_000008.jpg,"[0.76, 0.7, 0.27, 0.0, 0.02, 0.56, 0.0, 0.37, 0.06, 0.11, 0.11, 0.83, 0.11, 0.2, 0.77, 1.28, 0.07, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
/content/drive/MyDrive/AffectNet/Train/anger/image_000009.jpg,"[0.76, 0.7, 0.52, 0.0, 0.32, 0.45, 0.3, 1.07, 0.24, 0.56, 0.25, 1.02, 0.0, 0.2, 1.32, 0.79, 0.59, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
/content/drive/MyDrive/AffectNet/Train/anger/image_000010.jpg,"[0.32, 0.61, 1.01, 0.0, 0.39, 0.56, 0.3, 0.7, 0.24, 0.56, 0.25, 1.09, 0.0, 0.2, 0.92, 0.78, 0.59, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
